Range,Attenuator 1,Attenuator 2,Power
0,0.7,2.75,"[5.337034374568299e-05, 5.337034374568299e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.337034374568299e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.337034374568299e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05, 5.3358056184603356e-05]"
0,0.7,2.25,"[5.986872372480598e-05, 5.986872372480598e-05, 5.988251059509567e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.988251059509567e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.988251059509567e-05, 5.986872372480598e-05, 5.988251059509567e-05, 5.988251059509567e-05, 5.988251059509567e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05, 5.986872372480598e-05]"
0,0.8,0.0,"[9.817479430199844e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05, 9.815219132257573e-05]"
0,0.8,2.75,"[5.213147344399809e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.213147344399809e-05, 5.213147344399809e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.213147344399809e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.213147344399809e-05, 5.213147344399809e-05, 5.213147344399809e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05]"
0,0.8,2.25,"[5.847900841444806e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.847900841444806e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.847900841444806e-05, 5.846554467527502e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.847900841444806e-05, 5.846554467527502e-05, 5.846554467527502e-05, 5.847900841444806e-05]"
0,0.9,0.0,"[9.618337232872174e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.589589129147387e-05, 9.589589129147387e-05, 9.589589129147387e-05, 9.589589129147387e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.589589129147387e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05, 9.591797467879694e-05]"
0,0.9,2.75,"[5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.092136067911514e-05, 5.0909636952309374e-05, 5.0909636952309374e-05, 5.092136067911514e-05]"
0,0.9,2.25,"[5.713470640013355e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.713470640013355e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05, 5.712155216230428e-05]"
0,1.0,0.0,"[9.427575085274156e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.371303430676045e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.371303430676045e-05, 9.371303430676045e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05, 9.373461501481733e-05]"
0,1.0,2.75,"[4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05, 4.976224899734695e-05]"
0,1.0,2.25,"[5.5872743899402e-05, 5.584701947368309e-05, 5.584701947368309e-05, 5.584701947368309e-05, 5.584701947368309e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.584701947368309e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.584701947368309e-05, 5.5834161702592655e-05, 5.5834161702592655e-05, 5.584701947368309e-05, 5.584701947368309e-05]"
0,1.1,0.0,"[9.191788016944913e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05, 9.164314819766474e-05]"
0,1.1,2.75,"[4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05]"
0,1.1,2.25,"[5.458835409516777e-05, 5.457578610912708e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05, 5.458835409516777e-05]"
0,1.2,0.0,"[9.009485693796431e-05, 8.953647655495937e-05, 8.955709546432745e-05, 8.955709546432745e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.955709546432745e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05, 8.953647655495937e-05]"
0,1.2,2.75,"[4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05]"
0,1.2,2.25,"[5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.333348954876208e-05, 5.333348954876208e-05, 5.333348954876208e-05, 5.333348954876208e-05, 5.333348954876208e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.333348954876208e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05, 5.33457714525135e-05]"
0,1.3,0.0,"[8.767989074889648e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.747823259612848e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05, 8.74983775227436e-05]"
0,1.3,2.75,"[4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05]"
0,1.3,2.25,"[5.2119471110508054e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.2119471110508054e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.2119471110508054e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05, 5.210747154033926e-05]"
0,1.4,0.0,"[8.594092029532833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.548698491636666e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05, 8.550667128846833e-05]"
0,1.4,2.75,"[4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05, 4.876407606118824e-05]"
