Current (A),Measured Voltage (V)
-8.333333333333334e-06,-2.21778836e-05
-8.181818181818183e-06,-2.20690262e-05
-8.03030303030303e-06,-2.26299338e-05
-7.87878787878788e-06,-2.16834738e-05
-7.727272727272727e-06,-2.19122329e-05
-7.5757575757575764e-06,-2.18657046e-05
-7.424242424242425e-06,-2.21915111e-05
-7.272727272727273e-06,-2.27884905e-05
-7.1212121212121215e-06,-2.16962815e-05
-6.96969696969697e-06,-2.28194501e-05
-6.818181818181818e-06,-2.10016668e-05
-6.666666666666667e-06,-2.17298242e-05
-6.515151515151516e-06,-2.25439307e-05
-6.363636363636364e-06,-2.28519952e-05
-6.212121212121213e-06,-2.20982224e-05
-6.060606060606061e-06,-2.07383673e-05
-5.909090909090909e-06,-2.17741793e-05
-5.757575757575758e-06,-2.29650212e-05
-5.606060606060606e-06,-2.23186983e-05
-5.454545454545455e-06,-2.21662515e-05
-5.303030303030304e-06,-2.2480426e-05
-5.151515151515152e-06,-2.2539994e-05
-5e-06,-2.25934521e-05
-4.848484848484849e-06,-2.2176708e-05
-4.696969696969697e-06,-2.20954614e-05
-4.5454545454545455e-06,-2.23682197e-05
-4.393939393939394e-06,-2.15820798e-05
-4.242424242424242e-06,-2.29701335e-05
-4.0909090909090915e-06,-2.18729901e-05
-3.93939393939394e-06,-2.22621234e-05
-3.7878787878787882e-06,-2.16444089e-05
-3.6363636363636366e-06,-2.24212679e-05
-3.484848484848485e-06,-2.15223339e-05
-3.3333333333333333e-06,-2.27293324e-05
-3.181818181818182e-06,-2.21098545e-05
-3.0303030303030305e-06,-2.30574901e-05
-2.878787878787879e-06,-2.23887228e-05
-2.7272727272727276e-06,-2.2787137e-05
-2.575757575757576e-06,-2.20938759e-05
-2.4242424242424244e-06,-2.12832962e-05
-2.2727272727272728e-06,-2.27052484e-05
-2.121212121212121e-06,-2.24841848e-05
-1.96969696969697e-06,-2.21337065e-05
-1.8181818181818183e-06,-2.27303301e-05
-1.6666666666666667e-06,-2.1316839e-05
-1.5151515151515152e-06,-2.16047562e-05
-1.3636363636363638e-06,-2.32764346e-05
-1.2121212121212122e-06,-2.16250814e-05
-1.0606060606060606e-06,-2.17911556e-05
-9.090909090909091e-07,-2.22291684e-05
-7.575757575757576e-07,-2.15540592e-05
-6.060606060606061e-07,-2.16163883e-05
-4.5454545454545457e-07,-2.13203657e-05
-3.0303030303030305e-07,-2.15594034e-05
-1.5151515151515152e-07,-2.13590207e-05
-0.0,-2.21954478e-05
