Bias,Efficiency,Counts_Expected
5.443526170798899e-06,0.000586+/-0.000007,(2.437+/-0.005)e+06
5.548209366391185e-06,0.000721+/-0.000004,(2.437+/-0.005)e+06
5.6528925619834715e-06,0.00094+/-0.00004,(2.437+/-0.005)e+06
5.7575757575757586e-06,0.00120+/-0.00004,(2.437+/-0.005)e+06
5.862258953168045e-06,0.001510+/-0.000021,(2.437+/-0.005)e+06
5.966942148760331e-06,0.001881+/-0.000023,(2.437+/-0.005)e+06
6.071625344352618e-06,0.002245+/-0.000010,(2.437+/-0.005)e+06
6.176308539944905e-06,0.00264+/-0.00004,(2.437+/-0.005)e+06
6.280991735537191e-06,0.003139+/-0.000025,(2.437+/-0.005)e+06
6.385674931129478e-06,0.003779+/-0.000035,(2.437+/-0.005)e+06
6.490358126721763e-06,0.00447+/-0.00004,(2.437+/-0.005)e+06
6.59504132231405e-06,0.005162+/-0.000020,(2.437+/-0.005)e+06
6.699724517906337e-06,0.00611+/-0.00005,(2.437+/-0.005)e+06
6.804407713498623e-06,0.00729+/-0.00007,(2.437+/-0.005)e+06
6.90909090909091e-06,0.00864+/-0.00014,(2.437+/-0.005)e+06
7.013774104683197e-06,0.01045+/-0.00004,(2.437+/-0.005)e+06
7.1184573002754824e-06,0.01305+/-0.00006,(2.437+/-0.005)e+06
7.2231404958677696e-06,0.01655+/-0.00016,(2.437+/-0.005)e+06
7.327823691460057e-06,0.02065+/-0.00012,(2.437+/-0.005)e+06
7.432506887052342e-06,0.02514+/-0.00009,(2.437+/-0.005)e+06
7.537190082644629e-06,0.02959+/-0.00008,(2.437+/-0.005)e+06
7.641873278236916e-06,0.03308+/-0.00021,(2.437+/-0.005)e+06
7.746556473829202e-06,0.03506+/-0.00015,(2.437+/-0.005)e+06
7.851239669421489e-06,0.03595+/-0.00010,(2.437+/-0.005)e+06
7.955922865013776e-06,0.03597+/-0.00024,(2.437+/-0.005)e+06
8.060606060606061e-06,0.03612+/-0.00016,(2.437+/-0.005)e+06
8.165289256198348e-06,0.03610+/-0.00022,(2.437+/-0.005)e+06
8.269972451790636e-06,0.03607+/-0.00026,(2.437+/-0.005)e+06
8.374655647382921e-06,0.03599+/-0.00024,(2.437+/-0.005)e+06
8.479338842975208e-06,0.03608+/-0.00019,(2.437+/-0.005)e+06
8.584022038567495e-06,0.03593+/-0.00013,(2.437+/-0.005)e+06
8.68870523415978e-06,0.03590+/-0.00015,(2.437+/-0.005)e+06
8.793388429752068e-06,0.03577+/-0.00012,(2.437+/-0.005)e+06
8.898071625344355e-06,0.03592+/-0.00009,(2.437+/-0.005)e+06
9.00275482093664e-06,0.03578+/-0.00009,(2.437+/-0.005)e+06
9.107438016528927e-06,0.03591+/-0.00015,(2.437+/-0.005)e+06
9.212121212121214e-06,0.03581+/-0.00009,(2.437+/-0.005)e+06
9.3168044077135e-06,0.03587+/-0.00016,(2.437+/-0.005)e+06
9.421487603305787e-06,0.03593+/-0.00012,(2.437+/-0.005)e+06
9.526170798898074e-06,0.03596+/-0.00010,(2.437+/-0.005)e+06
9.63085399449036e-06,0.03590+/-0.00010,(2.437+/-0.005)e+06
9.735537190082647e-06,0.03606+/-0.00015,(2.437+/-0.005)e+06
9.840220385674932e-06,0.03601+/-0.00016,(2.437+/-0.005)e+06
9.944903581267219e-06,0.03584+/-0.00015,(2.437+/-0.005)e+06
1.0049586776859506e-05,0.03603+/-0.00009,(2.437+/-0.005)e+06
1.0154269972451792e-05,0.03588+/-0.00011,(2.437+/-0.005)e+06
1.0258953168044079e-05,0.03593+/-0.00012,(2.437+/-0.005)e+06
1.0363636363636366e-05,0.03607+/-0.00020,(2.437+/-0.005)e+06
1.0468319559228651e-05,0.03608+/-0.00017,(2.437+/-0.005)e+06
1.0573002754820938e-05,0.03598+/-0.00021,(2.437+/-0.005)e+06
1.0677685950413224e-05,0.03617+/-0.00015,(2.437+/-0.005)e+06
1.078236914600551e-05,0.03615+/-0.00016,(2.437+/-0.005)e+06
1.0887052341597798e-05,0.03600+/-0.00011,(2.437+/-0.005)e+06
1.0991735537190083e-05,0.03624+/-0.00008,(2.437+/-0.005)e+06
1.109641873278237e-05,0.03641+/-0.00015,(2.437+/-0.005)e+06
1.1201101928374658e-05,0.018+/-0.004,(2.437+/-0.005)e+06
1.1305785123966943e-05,-0.000221+/-0.000006,(2.437+/-0.005)e+06
1.141046831955923e-05,-0.0004+/-0.0005,(2.437+/-0.005)e+06
1.1515151515151517e-05,0.0+/-0,(2.437+/-0.005)e+06
1.1619834710743803e-05,0.0+/-0,(2.437+/-0.005)e+06
1.172451790633609e-05,0.0+/-0,(2.437+/-0.005)e+06
1.1829201101928377e-05,0.0+/-0,(2.437+/-0.005)e+06
1.1933884297520662e-05,0.0+/-0,(2.437+/-0.005)e+06
1.203856749311295e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2143250688705236e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2247933884297522e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2352617079889809e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2457300275482096e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2561983471074381e-05,0.0+/-0,(2.437+/-0.005)e+06
1.2666666666666668e-05,0.0+/-0,(2.437+/-0.005)e+06
